russian	english
Мальчик и девочка играют.	A boy and a girl are playing.
Мы стояли и ждали.	We were standing and waiting.
Слушали все: и мужчины, и женщины, и дети.	Everybody was listening--men, women and children.
Давай говорить прямо и откровенно.	Let's talk up (talk frankly and sincerely).
Я это и имею в виду.	That's what I have in mind.
Что бы ты выбрал? Я бы выбрал и то, и другое.	What would you choose? I would choose both this and that.
И как ты не понимаешь, что это интересно?	How come you don't understand that this is interesting?
Он и сказал бы, да не знает.	He would tell but he doesn't know.
Мы так и сделали.	This is what we did.
Я даже и не знаю.	I don't even know.
Она и нам рассказала.	She told us too.
